Product,Entity,Operation,Campaign Id,Ad Group Id,Portfolio Id,Ad Id (Read only),Keyword Id (Read only),Product Targeting Id (Read only),Campaign Name,Ad Group Name,Campaign Name (Informational only),Ad Group Name (Informational only),Portfolio Name (Informational only),Start Date,End Date,Targeting Type,State,Campaign State (Informational only),Ad Group State (Informational only),Daily Budget,SKU,ASIN (Informational only),Eligibility Status (Informational only),Reason for ineligibility (Informational only),Ad Group Default Bid,Ad Group Default Bid (Informational only),Bid,Keyword Text,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Resolved Product Targeting Expression (Informational only),Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,Acos,CPC,ROAS
Sponsored Products,Campaign,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,,,,,,Clear Jojoba Oil | Brand Defense - brand defense | Brand Defense | B08KP3LDHM - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,Brand Defense,,,,,,Brand Defense,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,33333333,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Brand Defense,,,,"asin=""B09BB4YJJR""",,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Brand Defense | B08KP3LDHM - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Brand Defense,,,,"asin=""B076DSBHD1""",,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,,,,,,Clear Jojoba Oil | Brand Defense - brand defense | Brand Defense | B09BB4YJJR - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,Brand Defense,,,,,,Brand Defense,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,22222222,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Brand Defense,,,,"asin=""B08KP3LDHM""",,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Brand Defense | B09BB4YJJR - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Brand Defense,,,,"asin=""B076DSBHD1""",,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,,,,,,Clear Jojoba Oil | Brand Defense - brand defense | Brand Defense | B076DSBHD1 - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,Brand Defense,,,,,,Brand Defense,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,11111111,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Brand Defense,,,,"asin=""B08KP3LDHM""",,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Brand Defense | B076DSBHD1 - SP,Brand Defense,,,,,,,,Brand Defense,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Brand Defense,,,,"asin=""B09BB4YJJR""",,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | Advertised ASIN - advertised asin | Advertised ASIN | B09BB4Y111 - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Biddin g Adjustment,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,Advertised ASIN,,,,,,Advertised ASIN,,Advertised ASIN,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,Advertised ASIN,,,,,,,,Advertised ASIN,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil | Advertised ASIN | B09BB4Y111 - SP,Advertised ASIN,,,,,,,,Advertised ASIN,,,,,enabled,enabled,enabled,,,,,,,,1.11,,Advertised ASIN,,,,"asin=""B09BB4Y111""",,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | variation  - variation  - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,variation,,,,,,variation,,variation,,,,,enabled,enabled,enabled,,,,,,0.89,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  variation   -  variation  | B09BB4Y111 - SP,variation,,,,,,,,variation,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
